nome_marca;descricao_situacao;descricao_natureza;nome_titular
ERVAMATEFRONTEIRA;Pedidodefinitivamentearquivado;DeProduto;S.R.MAGAGNINCOMERCIODEERVAMATEME
ERVAMATEFRONTEIRA;Pedidodefinitivamentearquivado;DeProduto;S.R.MAGAGNINCOMERCIODEERVAMATEME
ECOCLEAN;Registrodemarcaemvigor;DeProduto;ECOCLEANGMBH
ECOCLEAN;Registrodemarcaemvigor;DeProduto;ECOCLEANGMBH
ECOCLEAN;Registrodemarcaemvigor;DeProduto;ECOCLEANGMBH
HMVEngenheiros;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;HMVINGENIEROSLTDA
HMVEngenheiros;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;HMVINGENIEROSLTDA
HMVEngenheiros;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;HMVINGENIEROSLTDA
HMVEngenheiros;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;HMVINGENIEROSLTDA
ARTEIROS;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;DANIELYCARINADEMATTOSMANDALITIRIBEIRO-ME
ARTEIROS;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;DANIELYCARINADEMATTOSMANDALITIRIBEIRO-ME
ARTEIROS;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;DANIELYCARINADEMATTOSMANDALITIRIBEIRO-ME
ARTEIROS;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;DANIELYCARINADEMATTOSMANDALITIRIBEIRO-ME
FATOR;Registrodemarcaemvigor;DeProduto;LABORATÓRIOVETERINÁRIOHOMEOPATICOFAUNAEFLORAARENALESLTDA-ME
FATOR;Registrodemarcaemvigor;DeProduto;LABORATÓRIOVETERINÁRIOHOMEOPATICOFAUNAEFLORAARENALESLTDA-ME
FATOR;Registrodemarcaemvigor;DeProduto;LABORATÓRIOVETERINÁRIOHOMEOPATICOFAUNAEFLORAARENALESLTDA-ME
SIGOPEC;Registrodemarcaemvigor;DeProduto;SIGOPROCEDIMENTOSHOMEOPÁTICOSLTDA-ME.
SIGOPEC;Registrodemarcaemvigor;DeProduto;SIGOPROCEDIMENTOSHOMEOPÁTICOSLTDA-ME.
SIGOPEC;Registrodemarcaemvigor;DeProduto;SIGOPROCEDIMENTOSHOMEOPÁTICOSLTDA-ME.
EASYPACK;Pedidodefinitivamentearquivado;DeServiço;INVENTIVESBOUTIQUEDECRIAÇÃOEDESIGNLTDA
EASYPACK;Pedidodefinitivamentearquivado;DeServiço;INVENTIVESBOUTIQUEDECRIAÇÃOEDESIGNLTDA
EASYPACK;Pedidodefinitivamentearquivado;DeServiço;INVENTIVESBOUTIQUEDECRIAÇÃOEDESIGNLTDA
